,text,label,lang,font
0,"Em surto nas redes, CEO da Hurb xinga clientes e faz ameaças após não emitir passagens",0,ptbr,google-news
1,"CEO da Hurb xinga cliente, expõe dados e faz ameaça",0,ptbr,google-news
2,"Devendo para hotéis de Gramado e Canela, CEO do Hurb xinga e expõe dados de clientes no WhatsApp",0,ptbr,google-news
3,"Calotes, ameaças e deboche: entenda a crise na Hurb (ex-Hotel Urbano)",0,ptbr,google-news
4,Mega-Sena acumula e deve pagar R$ 50 milhões no próximo concurso,1,ptbr,google-news
5,"Mega-Sena, concurso 2.585: ninguém acerta as seis dezenas, e prêmio vai a R$ 50 milhões",1,ptbr,google-news
6,Mega-Sena vai a R$ 50 milhões após concurso de hoje acumular; veja dezenas,1,ptbr,google-news
7,Mega-Sena 2585 SEM ganhadores; veja NÚMEROS sorteados e os VALORES para quina e quadra,1,ptbr,google-news
8,Qual é a empresa de tecidos brasileira que fechou acordo com a Shein?,1,ptbr,google-news
9,Alerta para NOVA MUDANÇA que vai afetar brasileiros que compram na SHEIN,1,ptbr,google-news
10,Presidente da Fiesp de São Paulo fecha parceria com a Shein,2,ptbr,google-news
11,Quer trabalhar na Shein? Fábrica da marca no Brasil vai gerar 100 mil empregos,2,ptbr,google-news
12,"Após 52 anos, por que a tradicional rede americana Bed Bath & Beyond faliu",0,ptbr,google-news
13,Varejista americana Bed Bath & Beyond entra com pedido de proteção contra credores e pode fechar as portas,0,ptbr,google-news
14,Bed Bath & Beyond entra com pedido de recuperação judicial nos EUA,1,ptbr,google-news
15,Varejista entra com pedido de recuperação judicial nos Estados Unidos,0,ptbr,google-news
16,FGTS pode ganhar correção de R$ 1.400 alegrando os trabalhadores,2,ptbr,google-news
17,Revisão do FGTS pode dar R$ 1.400 a mais em 10 anos para quem ganha o mínimo,2,ptbr,google-news
18,Justiça toma IMPORTANTE decisão sobre FGTS que afetará o trabalhador,1,ptbr,google-news
19,"Julgamento do Supremo sobre o FGTS: afinal, o que ficou decidido?",1,ptbr,google-news
20,IR 2023: quando vale parcelar o saldo devido no Imposto de Renda?,1,ptbr,google-news
21,Como RETIFICAR a declaração do Imposto de Renda 2023. Aprenda passo a passo da retificação,1,ptbr,google-news
22,Pensão alimentícia no Imposto de Renda: veja como fica a declaração em 2023,1,ptbr,google-news
23,Transações que podem entregar seu nome à Receita e levar à malha fina,1,ptbr,google-news
24,"NOVO CALENDÁRIO PIS 2023: R$ 1.302 do PIS 2023 será ANTECIPADO pela CAIXA para AMANHÃ, SEGUNDA (24) aos...",2,ptbr,google-news
25,Melhor notícia para brasileiros com carteira assinada é emitida em abril,2,ptbr,google-news
26,É possível sacar o PIS/Pasep fora da data prevista?,1,ptbr,google-news
27,NOVO CALENDÁRIO PIS 2023: PARCELA de R$ 1.302 do PIS 2023 será ANTECIPADA pela CAIXA para esta TERÇA-FE...,2,ptbr,google-news
28,"IPCA-15, inflação nos EUA, resultados da Vale (VALE3) e das “big techs”: o que acompanhar na semana",1,ptbr,google-news
29,Eventos que podem impactar a Bolsa nesta semana,1,ptbr,google-news
30,IPCA-15 e PIB nos EUA fecham abril; confira agenda da última semana do mês,1,ptbr,google-news
31,"Agenda econômica: Inflação nos Estados Unidos, balanços das big techs e temporada de resultados no Brasil são destaque nos próximos dias",1,ptbr,google-news
32,"Mercado não consegue dar benefício da dúvida ao novo arcabouço, diz Bráulio Borges",0,ptbr,google-news
33,Lula não consegue zerar o déficit primário sem arcabouço fiscal; veja as opções se proposta subir no telhado,0,ptbr,google-news
34,Arcabouço aposta no gasto em tempos de arrecadação boa e pedido de desculpas em tempos de crise no caixa,1,ptbr,google-news
35,Arcabouço fiscal para inglês ver,0,ptbr,google-news
36,Bombril (BOBR4): Acordo milionário reerguerá a queridinha do mercado?,2,ptbr,google-news
37,Bombril faz acordo milionário para pagar dívidas; empresa sairá da crise?,2,ptbr,google-news
38,"Uma das maiores empresas do Brasil, dona de marca famosa, entra em crise e vive situação dramática",0,ptbr,google-news
39,Bombril faz acordo milionário para pagar dívidas e tentar sair da lama,2,ptbr,google-news
40,"Remuneração do CEO do Google em 2022 é estimada em R$ 1,14 bilhão",1,ptbr,google-news
41,Remuneração do CEO do Google em 2022 é estimada em mais de R$ 1 bi,1,ptbr,google-news
42,CEO da Alphabet faturou mais de US$ 200 milhões em meio a cortes,0,ptbr,google-news
43,Quanto ganha o CEO do Google? Empresa mostrou seus números,1,ptbr,google-news
44,Mega-Sena: duas apostas de Pernambuco acertam a quina e levam mais de R$ 59 mil,1,ptbr,google-news
45,Mega-Sena: duas apostas do DF acertam a quina e faturam R$ 58 mil cada,1,ptbr,google-news
46,Morador de Curitiba acerta 5 números na Mega-Sena e leva quase R$ 60 mil,1,ptbr,google-news
47,Apostas de Goiás acertam cinco números da Mega-Sena e levam prêmio de R$ 58 mil,1,ptbr,google-news
48,Quer comprar um carro? Essa notícia pode fazer você mudar de ideia em instantes,0,ptbr,google-news
49,É melhor financiar ou assinar um carro zero?,1,ptbr,google-news
50,Qual vale a pena comprar: carro novo básico ou usado completão?,1,ptbr,google-news
51,"Toyota terá SUV compacto no país, modelo será híbrido flex",2,ptbr,google-news
52,Novo SUV híbrido nacional da Toyota será rival de Hyundai Creta e Chevrolet Tracker,2,ptbr,google-news
53,"Porsche Cayenne 2024, Novo SUV compacto Toyota,Nova picape Ram nacional Shineray Jet 50S,C3 Aircross",2,ptbr,google-news
54,Investimento da Toyota no Brasil: Nova produção de veículo híbrido e geração de empregos,2,ptbr,google-news
55,Aneel autoriza reajuste médio de 8% para tarifa de energia elétrica da Bahia,0,ptbr,google-news
56,"Energia mais cara: Quase 30 milhões de brasileiros vão ter reajuste de até 8,6% na conta de luz",0,ptbr,google-news
57,Conta de luz residencial sofre aumento de mais de 8% na Bahia - iBahia,0,ptbr,google-news
58,PÉSSIMA NOTÍCIA para quem paga conta de luz é divulgada e vai desagradar,0,ptbr,google-news
59,Nova linha de crédito ESPECIAL para quem é MEI,2,ptbr,google-news
60,BNDES libera mais de R$ 2 bilhões em crédito rural,2,ptbr,google-news
61,Nova linha de crédito para MEIs com benefícios vantajosos,2,ptbr,google-news
62,Grupo tem acesso a função ESPECIAL do Nubank; conheça a novidade,2,ptbr,google-news
63,Consignado do Nubank: como fazer a contratação pelo app?,1,ptbr,google-news
